               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.02853,           0.0099427,           0.0010487,             0.89857,             0.92654,             0.93424,             0.61512,            0.021132,           0.0077882,          0.00093671,           0.0086485,           0.0086485,           0.0086485
                  78,            0.028175,           0.0098212,           0.0010545,             0.91285,              0.9344,             0.95568,             0.59234,            0.021589,           0.0076529,          0.00077205,           0.0086146,           0.0086146,           0.0086146
                  79,             0.02932,             0.01006,          0.00098433,             0.89512,             0.92766,             0.94136,             0.61973,            0.021436,           0.0078028,            0.000834,           0.0085805,           0.0085805,           0.0085805
                  80,            0.031778,            0.010608,           0.0010942,             0.87987,             0.91624,             0.93053,             0.61722,            0.021069,           0.0076558,            0.000882,           0.0085459,           0.0085459,           0.0085459
                  81,            0.029674,            0.010315,           0.0012833,             0.91503,             0.93291,             0.95956,             0.65217,            0.020958,           0.0077671,          0.00085146,           0.0085111,           0.0085111,           0.0085111
                  82,            0.028811,           0.0098732,           0.0011632,             0.87352,             0.90748,             0.93422,             0.61525,            0.020839,           0.0076133,          0.00079119,           0.0084759,           0.0084759,           0.0084759
                  83,            0.027212,            0.010157,          0.00098232,             0.93927,             0.92928,              0.9645,             0.65698,            0.021243,           0.0076896,          0.00073239,           0.0084404,           0.0084404,           0.0084404
                  84,            0.028439,           0.0096596,          0.00097407,             0.90826,             0.93906,             0.96219,             0.62297,            0.022065,           0.0076697,          0.00079365,           0.0084046,           0.0084046,           0.0084046
                  85,             0.03068,             0.01016,           0.0012638,             0.91548,             0.95011,             0.96481,             0.61115,             0.02168,           0.0075189,          0.00084633,           0.0083684,           0.0083684,           0.0083684
                  86,            0.028112,           0.0099543,           0.0011536,             0.88637,             0.94088,             0.94708,              0.6531,            0.020312,           0.0076715,          0.00089482,           0.0083319,           0.0083319,           0.0083319
                  87,            0.027844,           0.0099335,          0.00098403,             0.92354,             0.94527,             0.95721,             0.62301,            0.021541,             0.00811,          0.00075515,           0.0082952,           0.0082952,           0.0082952
                  88,            0.030707,            0.010526,          0.00098931,             0.91325,             0.94657,             0.95385,              0.6222,            0.021665,           0.0077471,          0.00083214,           0.0082581,           0.0082581,           0.0082581
                  89,            0.027518,            0.010011,           0.0011609,             0.90447,              0.9317,             0.94631,             0.58658,            0.021806,           0.0077874,          0.00086107,           0.0082207,           0.0082207,           0.0082207
                  90,            0.028682,           0.0098373,           0.0010354,             0.92771,              0.9328,             0.95164,             0.63543,            0.020712,           0.0077006,          0.00082593,            0.008183,            0.008183,            0.008183
                  91,            0.028913,            0.010369,           0.0010195,             0.92412,             0.93126,             0.95069,             0.64232,             0.02035,           0.0075553,          0.00071067,            0.008145,            0.008145,            0.008145
                  92,            0.027207,           0.0095237,          0.00087328,             0.92451,             0.92741,             0.94784,             0.62651,            0.021232,           0.0075086,          0.00065875,           0.0081068,           0.0081068,           0.0081068
                  93,            0.027375,           0.0096439,          0.00091214,             0.90225,              0.9172,             0.94896,             0.63332,            0.020313,           0.0073992,          0.00065772,           0.0080682,           0.0080682,           0.0080682
                  94,            0.027998,           0.0096124,          0.00090965,             0.90782,             0.93714,             0.94973,             0.67513,            0.019836,           0.0074894,          0.00067967,           0.0080294,           0.0080294,           0.0080294
                  95,            0.027333,           0.0097107,          0.00098689,             0.93148,             0.93522,             0.95852,             0.66637,            0.019646,           0.0073104,          0.00080575,           0.0079903,           0.0079903,           0.0079903
                  96,            0.027238,           0.0094392,          0.00097633,             0.92619,             0.93053,              0.9514,             0.64474,            0.020236,           0.0074123,           0.0007511,           0.0079509,           0.0079509,           0.0079509
                  97,             0.02606,           0.0094474,          0.00088112,             0.91367,             0.93929,             0.94463,             0.64044,            0.019843,           0.0072649,           0.0007292,           0.0079112,           0.0079112,           0.0079112
                  98,            0.025493,           0.0089915,          0.00089289,             0.92257,             0.93108,             0.93758,             0.63623,            0.020436,           0.0072824,          0.00072468,           0.0078713,           0.0078713,           0.0078713
                  99,            0.026444,           0.0092806,          0.00085084,             0.92947,             0.94223,             0.95054,             0.65796,            0.020266,           0.0073834,          0.00067237,           0.0078311,           0.0078311,           0.0078311
                 100,            0.026121,           0.0091262,          0.00086037,             0.91024,             0.95202,             0.95242,             0.66737,            0.019501,           0.0073161,           0.0006754,           0.0077907,           0.0077907,           0.0077907
                 101,            0.027092,           0.0092335,            0.000874,              0.9169,             0.95957,             0.96525,             0.63791,            0.021565,           0.0074978,          0.00069862,             0.00775,             0.00775,             0.00775
                 102,             0.02628,           0.0088499,          0.00097798,             0.92915,             0.94474,             0.96322,             0.66214,            0.019919,           0.0074407,          0.00071996,           0.0077091,           0.0077091,           0.0077091
                 103,            0.026416,           0.0098387,          0.00081863,             0.91589,             0.94085,             0.94368,             0.64365,            0.020957,           0.0074066,          0.00065916,           0.0076679,           0.0076679,           0.0076679
                 104,            0.028785,            0.010069,          0.00082574,             0.92259,             0.92435,             0.93264,             0.63417,            0.020087,           0.0072187,           0.0006748,           0.0076265,           0.0076265,           0.0076265
                 105,             0.02654,           0.0098375,           0.0009274,             0.92366,             0.95353,             0.96076,             0.64991,            0.020013,            0.007352,          0.00073653,           0.0075848,           0.0075848,           0.0075848
                 106,            0.024644,           0.0095074,          0.00090621,             0.92775,             0.94046,             0.95963,             0.65969,             0.02019,           0.0073575,          0.00070558,            0.007543,            0.007543,            0.007543
                 107,            0.027803,           0.0096745,          0.00079504,             0.92829,             0.94881,             0.96676,             0.64603,            0.020064,           0.0072008,          0.00066059,           0.0075009,           0.0075009,           0.0075009
                 108,            0.025216,           0.0088984,           0.0007825,             0.91874,             0.93636,              0.9567,             0.66869,            0.019711,           0.0072232,          0.00068158,           0.0074585,           0.0074585,           0.0074585
                 109,            0.025641,           0.0089165,          0.00073809,             0.93888,              0.9266,             0.96027,             0.62849,            0.020727,           0.0074031,          0.00062825,            0.007416,            0.007416,            0.007416
                 110,            0.024802,           0.0090944,           0.0009118,             0.92765,             0.94081,             0.95922,             0.67433,             0.01952,           0.0074214,          0.00068465,           0.0073733,           0.0073733,           0.0073733
                 111,             0.02405,           0.0088452,          0.00083747,             0.93149,             0.94644,             0.95891,             0.67256,            0.019272,           0.0074639,          0.00072173,           0.0073303,           0.0073303,           0.0073303
                 112,            0.024992,           0.0087659,          0.00080383,             0.95077,             0.94576,             0.96944,             0.67126,            0.019825,           0.0073042,          0.00062593,           0.0072872,           0.0072872,           0.0072872
                 113,            0.024962,           0.0095446,          0.00070575,             0.94287,             0.94834,             0.96508,             0.69048,            0.018896,           0.0073103,          0.00062075,           0.0072438,           0.0072438,           0.0072438
                 114,            0.024449,           0.0091113,          0.00076324,              0.9424,             0.93638,             0.95871,             0.67936,            0.019533,           0.0074139,          0.00061881,           0.0072003,           0.0072003,           0.0072003
                 115,            0.024413,           0.0093255,           0.0007354,             0.92877,             0.94235,              0.9579,             0.66582,            0.019707,           0.0073063,          0.00063087,           0.0071566,           0.0071566,           0.0071566
